origin,destination,price,duration_minutes,airline,departure_time,arrival_time
São Paulo,New York,1487.08,815,AV,2026-02-04 01:20:00,2026-02-04 05:15:00
São Paulo,New York,1487.08,820,AV,2026-02-04 17:25:00,2026-02-04 21:25:00
São Paulo,New York,1487.08,1030,AV,2026-02-04 07:35:00,2026-02-04 11:25:00
São Paulo,New York,1487.08,1290,AV,2026-02-04 17:25:00,2026-02-04 21:25:00
São Paulo,New York,1487.08,1325,AV,2026-02-04 02:40:00,2026-02-04 06:35:00
São Paulo,Miami,1541.45,650,AV,2026-02-04 02:40:00,2026-02-04 06:35:00
São Paulo,Miami,1541.45,690,AV,2026-02-04 07:35:00,2026-02-04 11:25:00
São Paulo,Miami,1541.45,705,AV,2026-02-04 17:25:00,2026-02-04 21:25:00
São Paulo,Miami,1541.45,730,AV,2026-02-04 01:20:00,2026-02-04 05:15:00
São Paulo,Miami,1541.45,985,AV,2026-02-04 02:40:00,2026-02-04 06:35:00
New York,São Paulo,1677.36,850,G3,2026-02-04 06:30:00,2026-02-04 12:30:00
New York,São Paulo,1922.03,799,AV,2026-02-04 14:21:00,2026-02-04 20:25:00
New York,São Paulo,1922.03,820,AV,2026-02-04 00:35:00,2026-02-04 06:15:00
New York,São Paulo,1922.03,850,AV,2026-02-04 06:30:00,2026-02-04 12:30:00
New York,São Paulo,1922.03,1025,AV,2026-02-04 06:30:00,2026-02-04 12:30:00
New York,Miami,184.76,199,F9,2026-02-04 10:02:00,2026-02-04 13:21:00
New York,Miami,375.03,397,F9,2026-02-04 06:10:00,2026-02-04 09:13:00
Miami,São Paulo,1394.6,1085,H8,2026-02-04 08:45:00,2026-02-04 14:45:00
Miami,São Paulo,1507.27,500,LA,2026-02-04 19:00:00,2026-02-05 05:20:00
Miami,São Paulo,1507.27,505,LA,2026-02-04 09:35:00,2026-02-04 20:00:00
Miami,São Paulo,1514.24,665,AV,2026-02-04 16:35:00,2026-02-04 20:15:00
Miami,São Paulo,1514.24,820,AV,2026-02-04 07:00:00,2026-02-04 10:50:00
Miami,New York,184.76,187,F9,2026-02-04 06:00:00,2026-02-04 09:07:00
Miami,New York,405.47,586,F9,2026-02-04 14:57:00,2026-02-04 17:10:00
